State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"School 6-Dag Hammarskjold",328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,1,0,0,0,0,1,1,0,0,17
"School 7-Virgil Grissom",601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,1,27,0,0,0,0,0,0,0,1,0,0,0,3,0,0,24
"School 8-Roberto Clemente",571,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,33,0,95,0,73,0,1,0,0,0,5,1,0,0,0,1,3,0,0,55
"School 9-Dr Martin Luther King Jr",677,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,1,0,29,0,6,0,0,0,1,0,0,0,1,0,0,2,5,0,0,57
"School For Business, Finance And Entrepreneurship At Edison",398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,193
"School Of Engineering And Manufacturing At Edison",393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,4,0,15,0,23,0,0,0,1,0,11,0,0,0,0,1,1,2,0,406
"School Of Imaging And Information Technology At Edison",459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,273
"School Of The Arts",1152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,5,0,13,0,3,0,0,1,2,0,0,0,0,0,1,0,3,5,0,158
"School Without Walls",375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52
"Skilled Trades At Edison",354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,15,0,1,1,10,0,1,0,0,0,0,1,3,2,1,258
"Thomas Jefferson High School",1145,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,1,0,39,1,18,0,1,0,0,0,2,0,0,0,0,1,3,2,0,205
"Charles H Roth Middle School",847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,19,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2
"David B Crane Elementary School",455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Emma E Sherman Elementary School",490,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ethel K Fyle Elementary School",438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"Floyd S Winslow Elementary School",472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Henry V Burger Middle School",533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,21,0,0,0,3,0,6,3,0,0,0,0,0,1,1,9
"Monica B Leary Elementary School",495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Ninth Grade Academy",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,13,0,9,0,0,0,0,0,14,0,0,0,0,0,0,5,0,2
"Rush-Henrietta Senior High School",1505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,4,0,36,0,34,0,0,0,6,0,6,2,0,0,0,0,1,17,6,29
"A M Cosgrove Middle School",1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,16,0,0,1,0,0,2,0,0,0,0,0,2,1,0,29
"Canal View Elementary School",429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leo Bernabi School",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Spencerport High School",1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,10,0,0,0,4,0,0,0,0,0,0,0,1,0,2,4
"Terry Taylor Elementary School",509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"William C Munn School",391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dewitt Road Elementary School",500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klem Road North Elementary School",561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klem Road South Elementary School",535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plank Road North Elementary School",516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"Plank Road South Elementary School",493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schlegel Road Elementary School",534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Spry Middle School",1045,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,25,0,10,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1
"State Road Elementary School",569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Thomas High School",1465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,1,0,6,0,0,0,0,0,1,3,4,25
"Webster-Schroeder High School",1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,58,0,11,0,0,0,0,0,2,0,0,0,0,0,1,2,3,19
"Willink Middle School",1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
"Briarwood School",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Brookview School",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6
"Colebrook School",158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dake Junior High School",656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,2,0,0,0,0,0,0,1,1,12
"Irondequoit High School",1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,5,0,0,0,0,0,23,0,0,0,0,0,1,3,9,0
"Iroquois Middle School",380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1
"Listwood School",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Rogers Middle School",476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3
"Seneca School",182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southlawn School",256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
"T J Connor Elementary School",329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wheatland Chili High School",473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,20,0,14,0,0,0,1,0,0,0,0,0,0,0,3,2,1,136
