"County Name","District Name","School Name","BEDS CODE",Enrollment,"School Type","Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
MONROE,"Fairport Central School District","Brooks Hill School",261301060001,783,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Fairport Central School District","Dudley School",261301060010,680,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Fairport Central School District","Fairport Senior High School",261301060009,1777,Public,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0
MONROE,"Fairport Central School District","Jefferson Avenue School",261301060006,776,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MONROE,"Fairport Central School District","Johanna Perrin Middle School",261301060002,792,Public,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,16,0,15,0,0,0,1,0,4,1,0,0,0,0,1,0,0,14
MONROE,"Fairport Central School District","Martha Brown Middle School",261301060004,882,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MONROE,"Fairport Central School District","Minerva Deland School",261301060007,590,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
MONROE,"Fairport Central School District","Northside School",261301060008,777,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Gates-Chili Central School District","Florence Brasser School",260401060002,261,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Gates-Chili Central School District","Gates-Chili High School",260401060001,1751,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,1,18,0,0,0,0,0,1,0,0,0,0,0,5,7,2,87
MONROE,"Gates-Chili Central School District","Gates-Chili Middle School",260401060004,1262,Public,0,0,0,0,0,4,0,0,1,0,0,0,0,0,7,0,1,0,56,0,36,0,0,0,3,0,2,0,0,0,0,0,4,2,0,102
MONROE,"Gates-Chili Central School District","Neil Armstrong School",260401060009,510,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MONROE,"Gates-Chili Central School District","Paul Road School",260401060007,404,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Gates-Chili Central School District","Walt Disney School",260401060008,528,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MONROE,"Gates-Chili Central School District","Washington Irving School",260401060005,303,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MONROE,"Greece Central School District","Apollo Middle School",260501060022,915,Public,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,0,1,0,96,1,21,0,0,1,2,0,4,0,2,0,0,0,6,2,0,22
MONROE,"Greece Central School District","Arcadia High School",260501060010,1358,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,23,0,21,0,0,0,2,0,7,1,0,0,0,0,2,6,6,4
MONROE,"Greece Central School District","Arcadia Middle School",260501060023,850,Public,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,2,0,80,1,33,0,0,0,3,0,2,0,1,0,0,0,0,0,0,3
MONROE,"Greece Central School District","Athena High School",260501060019,1381,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,21,0,23,0,0,0,2,0,0,0,0,0,0,0,2,6,2,17
MONROE,"Greece Central School District","Athena Middle School",260501060020,950,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,47,0,23,0,1,1,3,0,7,0,0,0,0,0,2,0,1,4
MONROE,"Greece Central School District","Autumn Lane Elementary School",260501060001,476,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROE,"Greece Central School District","Brookside Elementary School Campus",260501060004,299,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
